Company,JobTitle,SalaryLower,SalaryUpper,OfficeLocation,EmploymentType,Seniority,JobCategories,RoleDesc,Requirements,mcfURL
GRABTAXI HOLDINGS PTE. LTD.,CRM Data & Analytics Senior Manager,"$7,500","$10,000Monthly","OUE DOWNTOWN, 6 SHENTON WAY 068809",Full Time,Middle Management,Others,"We're looking for a Data Analytics Manager to join our Marketing Analytics team to provide data expertise as we improve the growth, retention, engagement, and brand affinity of the riders and drivers on the Grab platform. In the role you'll be part of and work closely with a cross-functional team consisting of strategy, design, development, and program managers.   You possess a passion for improving techniques, processes, tracking, analytical insights and technology used by marketing to achieve our bold goals. This person will help address the complex challenges of experiment design, marketing effectiveness, contact strategy, return on investment, driver and rider behavior and channel effectiveness using state of the art machine learning models   As a member of marketing analytics, you will not only be able to develop the team, but also help define the way marketing performance is calibrated and what questions should be asked. You'll play a big part in finding opportunity fields to help the marketing function scale as we develop onboarding, engagement and retention strategies.  You will also learn and apply advanced analytics skills like experimental design, machine learning, statistical modeling, and more.   What You’ll Do  Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies. Working closely with the CRM marketing team, responsible for CRM campaign pre and post analysis, cohorting, experiment design, segmentation, KPI measurement and more. Collaborate on project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc. Choose the proper metrics for tracking and understanding current and future experiments. Develop dashboards that provide reliable insights and visualization into rider and channel performance relative to KPIs, projections, and historical performance. Implement and analyze A/B or Multi-Variate Tests to provide actionable insights to the marketing team on the test data. Present findings to senior management to drive business and marketing decisions. Use tools such as Google Sheet, Tableau and many internal tools to work efficiently at scale. ","What You’ll Need  BS/MS in Engineering, Computer Science, Math, Economics, Statistics, or equivalent experience. At least 3-5 years of analytical and database experience. Marketing analytics or consulting experience is a plus. At least 2 years of people management experience. Excellent SQL skills. Excellent data visualization skills. Experience creating dashboard reporting in Tableau or a similar visualization tool a plus. Proficiency with multiple analytic and database tools (e.g Tableau, Hive, Presto, Vertica, Jupyter notebooks) Speed, resourcefulness and a go-getter attitude. Moving quickly and executing to allow for continual iteration is a core qualification of our team. Someone who is willing to contribute new ideas and articulate them to a variety of stakeholders and not just execute on existing ones A commitment to learning - We want someone who seeks to deliver impact, but also invests in themselves and others. We don’t get better by standing still, so you will need to consistently seek to innovate and raise the bar A love of data - you just go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis   ",https://www.mycareersfuture.sg/job/ca9465c19b167ab87d283e66d3f55fee
GRABTAXI HOLDINGS PTE. LTD.,CRM Data & Analytics Manager,"$5,000","$9,000Monthly","OUE DOWNTOWN, 6 SHENTON WAY 068809",Full Time,Manager,Others,"We're looking for a Data Analytics Manager to join our Marketing Analytics team to provide data expertise as we improve the growth, retention, engagement, and brand affinity of the riders and drivers on the Grab platform. In the role you'll be part of and work closely with a cross-functional team consisting of strategy, design, development, and program managers.   You possess a passion for improving techniques, processes, tracking, analytical insights and technology used by marketing to achieve our bold goals. This person will help address the complex challenges of experiment design, marketing effectiveness, contact strategy, return on investment, driver and rider behavior and channel effectiveness using state of the art machine learning models   As a member of marketing analytics, you will not only be able to develop the team, but also help define the way marketing performance is calibrated and what questions should be asked. You'll play a big part in finding opportunity fields to help the marketing function scale as we develop onboarding, engagement and retention strategies.  You will also learn and apply advanced analytics skills like experimental design, machine learning, statistical modeling, and more.   What You’ll Do  Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies. Working closely with the CRM marketing team, responsible for CRM campaign pre and post analysis, cohorting, experiment design, segmentation, KPI measurement and more. Collaborate on project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc. Choose the proper metrics for tracking and understanding current and future experiments. Develop dashboards that provide reliable insights and visualization into rider and channel performance relative to KPIs, projections, and historical performance. Implement and analyze A/B or Multi-Variate Tests to provide actionable insights to the marketing team on the test data. Present findings to senior management to drive business and marketing decisions. Use tools such as Google Sheet, Tableau and many internal tools to work efficiently at scale. ","What You’ll Need  BS/MS in Engineering, Computer Science, Math, Economics, Statistics, or equivalent experience. At least 3-5 years of analytical and database experience. Marketing analytics or consulting experience is a plus. At least 2 years of people management experience. Excellent SQL skills. Excellent data visualization skills. Experience creating dashboard reporting in Tableau or a similar visualization tool a plus. Proficiency with multiple analytic and database tools (e.g Tableau, Hive, Presto, Vertica, Jupyter notebooks) Speed, resourcefulness and a go-getter attitude. Moving quickly and executing to allow for continual iteration is a core qualification of our team. Someone who is willing to contribute new ideas and articulate them to a variety of stakeholders and not just execute on existing ones A commitment to learning - We want someone who seeks to deliver impact, but also invests in themselves and others. We don’t get better by standing still, so you will need to consistently seek to innovate and raise the bar A love of data - you just go get the data you need and turn it into an insightful story. You know how to convert data into decisions without getting stuck in paralysis by analysis   ",https://www.mycareersfuture.sg/job/0951146d43e5048df32ba4faa0ac4211
DBS BANK LTD.,"SVP  /  VP, Data Analytics Manager (Banking), Institutional Banking Group Technology, T&O (180001CG)","$9,500","$13,000Monthly",no information,"Permanent, Full Time",Manager,Banking and Finance," Work with and manage various stakeholders to understand their business objectives and challenges, and propose technology solutions using data  Perform requirements gathering, data gap / impact analysis on use cases to develop actionable insights Lead and manage the data analytics team (both onsite and offsite) and vendors in the delivery of use cases from POC to production Apply related industry knowledge to interpret data Ensure automation and stability in production for use cases delivered  Day-to-day Project / project financials management  Ensure data governance within Hadoop schema belonging to Institutional Banking Group Analytics and work with source systems to source in additional data, and ensure there is no duplication of datasets  Provide guidance to continuously move team towards predictive and prescriptive analytics Make recommendations to data values or variables when data is not available "," Equipped with excellent data analysis skills Min. 15 years of banking domain knowledge Good experience manging projects on Data mining or Data warehouse Basic understanding of Hadoop, R and Qlikview for data storage, data analysis and data visualization Experience or knowledge of SQL, entity relationship data modelling Effective communicator  Strong stakeholder and Vendor management skill Willingness to pick up and keep up with new big data technologies  ",https://www.mycareersfuture.sg/job/3e3e445392b6186c441ae63a37277deb
FORRESTER SINGAPORE PTE. LTD.,Data Analytics Manager,"$100,000","$120,000Annually","SOUTH BEACH TOWER, 38 BEACH ROAD 189767","Permanent, Full Time",Professional,Others,"The primary focus of the Senior Research & Data Analytics Manager is to take the leading role in working with internal and external clients to develop high-quality survey research projects that produce actionable insights. This person will help clarify research needs, identify appropriate methodologies and advanced analyses, and oversee deliverables. He or she will also contribute to the growth of the business by identifying areas for strategic improvement and recommending new tools, approaches, and procedures to accomplish research and client service objectives. The Senior Research & Data Analytics Manager is a critical member of Forrester’s custom data insights team. This person is responsible for:  Designing and managing primary custom research in response to client needs, including determining and advocating the best approach to meet the client’s business objectives. Designing studies with multiple client stakeholders. Crafting top-quality questionnaires. Incorporating and executing on appropriate advanced analytics. Soliciting competitive vendor bids. Overseeing study management. Contributing to the development of deliverables and insights. Working collaboratively with multiple internal stakeholders, including members of the data, sales, consulting, and research organizations. "," Must have demonstrated expertise with quantitative survey design and management, as well as advanced data analysis skills, gained from at least eight years of experience leading research studies (preferably in the market research industry). Must be a recognized expert in a wide variety of research methodologies and advanced analyses, including market segmentation and classification, driver analysis, landscape mapping, and conjoint studies and Regression analysis. Must be highly skilled at working with clients, including those from various backgrounds and with differing business needs. This person must be capable of providing clients with high-quality consultation. Must have experience managing complex global/international research studies. Advanced SPSS skills.  Great presentation skills – deliver insightful analysis to clients.  Excellent oral and written communication and collaboration skills. Sharp attention to detail and high personal standards for quality and thoroughness. Master’s degree required; Ph.D. in social sciences preferred.  Explore #ForresterLife on: YouTube Twitter Facebook Instagram LinkedIn Glassdoor Forrester Research is an equal opportunity employer and is committed to providing a work environment that is free from all forms of discrimination, including sexual harassment. Data Protection The information provided by you in this application will be used for the purposes of recruitment and, for successful applicants only, for personnel administration and management purposes and to comply with the employer’s obligations regarding the retention of employee records. If your application is unsuccessful, Forrester Research, Inc., its subsidiaries, affiliates, and/or service providers (collectively “Forrester”) will retain your personal information on secure file solely to consider you for future recruitment opportunities. By submitting your resume/CV, you consent to Forrester’s retention of the information provided on a secure file for personnel administration and management purposes and/or in order to consider you for future employment opportunities and to the transfer of the information provided to: Forrester’s offices in the US and other countries outside the European Economic Area; and Service providers engaged by Forrester for the purposes of processing applications for employment who may be located outside the European Economic Area.  ",https://www.mycareersfuture.sg/job/85fbae70671707563f8a86a5b5f69ce4
Republic Polytechnic,School of Infocomm - Research Staff (Data Analytics / Artificial Intelligence),"$3,100","$5,300Monthly",9 WOODLANDS AVENUE 9 738964,Contract,no information,"Education and Training, Public / Civil Service","Job Responsibilities We are looking for a capable and responsible individual to work on R&D projects on Data Analytics and Artificial Intelligence system.   You will take on an active role in designing and developing Artificial Intelligent and Data Analytics software to support projects in RP’s Technology Clusters.  You will work closely with other staff in developing new and innovative technologies to showcase such capabilities via use of AI in edge devices and conversational UI for use in bots. You should possess good oral and written skills along with a high degree of self-motivation and ability to work effectively in a team environment.  The successful candidate will be placed on a two-year contract, extendable to 5 years. Requirements • At least a Bachelor’s Degree in Computer Science, Engineering or Applied Mathematics with strong interest in Data Analytics and Artificial Intelligence • Strong understanding of a wide variety of computer science topics including, but not limited to any of the following: Machine Learning, neural networks, deep learning, computer vision and data visualization • Demonstrated skills in R, Python and/or Java programming, with good knowledge of Hadoop, MongoDB, Spark and other open sourced libraries, frameworks • Able to communicate in good spoken and written English, and a good team player • Highly self-motivated and willing to learn new technology • Fresh graduates are welcome to apply",no information,https://www.mycareersfuture.sg/job/013ba66040697b015cf467e7cf9b551a
BONSEY JADEN PTE. LTD.,CRM & DATA ANALYTICS LEAD,"$4,000","$6,000Monthly",19 CARPENTER STREET 059908,Full Time,Senior Management,Others,"We’re seeking a regional role to lead the CRM and data analytics in the region. You will work within the multidisciplinary strategy responsible for helping brands engage with customers effectively in a hyper-connected world. As the first person in the team with subject matter expertise, you will get a wide berth and freedom to design, experiment and test out custom solutions, framework and approaches with our core strategy team. Your work will be highly visible and integral to the growth of e-commerce and data analytics service in our agency. You will work directly with our senior management and lead strategy conversations and workshops with our clients. This role has great potential for growth, leadership and creativity for the ideal candidate. We’re looking for someone who has both technical finesse and creative problem solving capabilities. Our agency offers brands the powerful combination of entrepreneurial creativity, technology and strategy in all our services. We value attitude, resilience and versatility more than years of experience. It is important that our CRM & Data Analytics Lead is agile, has the appetite for organised chaos, out-of-box thinking and two eyes for details. If you’re already a CRM consultant with the appetite for some risk taking, creative challenge and the opportunity to work in a growing multidisciplinary digital agency, please speak to us."," Develop data strategy, customer experience, CRM and technology recommendation for clients across a variety of industry.   Develop digital transformation strategy, programme and roadmaps for clients who are undertaking business model transformation with us. Develop and lead data, CRM, e-Commerce and user experience workshops in partnerships with our senior strategy and technology teams. Develop data dashboards using the appropriate tools to analyse and visualise data from a wide variety of business and marketing sources such as CRM, e-mail data bases, social media and web analytics. Lead the subject matter expertise of using data meaningfully to inform strategy and creative solutions in the agency. This also means working with the strategy, creative and tech teams to integrate user journeys and customer data into campaigns, brand strategy and e-commerce platforms. Work with clients from a variety of industries to identify business needs and develop individualized digital solution blueprints and roadmaps Be an advisor and partner to clients looking to scale up their business digitally whether this is through an evolution of business model or marketing. Help build the agency’s capabilities in data, CRM and e-commerce and also play consultant to our internal product strategy.    As reflected in the above, your role will be both strategic and executional. If you’re successful in the above, in due time you get the opportunity to build your own team to help you scale up the agency’s capabilities. This role sits in the Singapore HQ office.",https://www.mycareersfuture.sg/job/f57422797dd7112b4f5c2bd846b6de82
Auditor-General's Office,AGO Summer Internship (Data Analytics Unit),Salary undisclosed,Salary undisclosed,no information,Full Time,no information,"Information Technology, Public / Civil Service","The Auditor-General's Office (AGO) is an independent organ of state and the national auditor. Our mission is to audit and report to the President and Parliament on the proper accounting and use of public resources to enhance public accountability. AGO conducts various audits and our observations include system weaknesses, non-compliance with control procedures or legislation, and instances of excess, extravagance, or gross inefficiency leading to waste in the use of public funds and resources. We are looking for candidates who possess good leadership qualities, strong drive for achievements, excellent analytical abilities, communication and interpersonal skills. Responsibilities Under this programme, interns will be attached to the Data Analytics Unit and get to assist in a wide variety of challenging and interesting projects. Your roles and responsibilities would include the following:   Assist to build and maintain ETL (Extract, Transform, Load), including merging and normalising related data sources;   Work closely with Team Lead to develop dashboards and network map data visualisations;   Enhance SOPs on data governance and data lifecycle management;   Assist to develop training aids on the use of visualisation tools; and   Research on techniques to enhance data privacy.   Interns will stand to gain valuable and practical work experience beyond the academia. The internship experience at AGO will help them to develop an interdisciplinary perspective, giving them the significant edge when seeking future employment. Requirements   Applicants must be Singaporeans.   Polytechnic students pursuing a Diploma in Business Analytics or Financial Informatics.   Able to commit for 6 months (i.e. July to December 2018)     Please complete your job application by attaching scan copies of your GCE O/Diploma educational transcripts.  The various transcripts can be scanned as continuous sheets but each attachment should not exceed a file size of 5MB. The maximum number of attachment is 5. Only shortlisted candidates will be notified.",no information,https://www.mycareersfuture.sg/job/de2624b136b8d157b3dff073bea22fa4
BEACON CONSULTING PTE LTD,Temp Admin (Data Analytics),Salary undisclosed,Salary undisclosed,991D ALEXANDRA ROAD 119972,Temporary,Fresh/entry level,Admin / Secretarial,"Temp Admins are required for a Data Analytics project from 23 Apr to 11 May 2018 for data tabulation, sorting, summarizing, charting and presentation of data using Excel and PowerPoint. Working Hours: Mon-Fri             : 9am to 6pm (1 hour lunch) 5 May (Sat)       : 10am to 7 pm (1 hour lunch) Hourly rate: S$8/ hour Responsibilities:  Accurately and efficiently tabulate, summarize and chart out numerical data using excel spreadsheet  Creation of data charts and data summaries using PowerPoint and excel Presenting data, creation of data charts, summary data tables and charts using PowerPoint and Excel. Ability to write/ complete reports using PowerPoint in templates provided "," Proficient in Microsoft Excel (data tabulation, drill-down, collation, summarizing, filtering, pivot, lookup, sorting, and working with formula) Enjoys working with numbers Meticulous with an eye for details Accurate and disciplined data tabulation skills Sharp numerical and observation skills Proficient in spoken and written English Ability to commit to the entire duration of the project ",https://www.mycareersfuture.sg/job/ceae2cec2adeec6362fbeae21d67e456
PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Technology Consulting Data Analytics - Senior Associate,"$4,000","$8,000Monthly","MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Full Time",Senior Executive,Information Technology,"Consulting  We help organisations to work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change. *Job Description Responsibilities  Perform work across diverse industries and projects ranging from developing organisational strategies for analytics to building sophisticated data visualisations and analytical models Analyse and interpret large volumes of data from client data systems and external sources using proprietary and open source data tools, platforms and analytical tool kits Translate complex findings into simple language and communicate them to internal and external stakeholders, such as your team members and clients executives Deliver excellent client service and work from both the PwC Singapore office and at client sites ","Requirements  Below are the attributes and skills we look for in candidates, but don’t be discouraged if you don’t possess all or even most of them. We would still love to talk to you about joining our team.  A degree with a quantitative focus: Actuarial Science, Business Analytics, Computer Science, Computer Engineering, Economics, Engineering, Information Systems or Technologies, Sciences, Mathematics, Statistics or other related disciplines that possesses an analytical component 2 – 4 years of full time working experience in an Analytics or related role Strong preference for basic competency in two or more of the following: 	 an analytical software (e.g. R, SAS); a data visualization tool (e.g. Qlikview, Tableau, PowerBI,); a relational or graph database management tool (e.g. SQL, NoSQL, Neo4J); or programming. (e.g. VBA, C++, Java, Python)   A self-driven learner with the ability to quickly learn and apply new tools and techniques such as proprietary analytical software, data models and programming languages An appreciation for structured methodical research, critical thinking and problem solving skills with an understanding for the application of these skills in the business environment A natural curiosity to identify, investigate and explain trends and patterns in data An ability to analyse and break down complex concepts and technical findings into clear and simple language for communication to team members and clients   We regret that only short-listed candidates will be notified.",https://www.mycareersfuture.sg/job/1f70879985e4d7b0c506434c2beb82ee
ERNST & YOUNG LLP,"Data Analytics,  Associate, Financial Accounting Advisory Services, Assurance, Singapore","$3,000","$6,000Monthly",1 RAFFLES QUAY 048583,Full Time,Executive,Consulting ,"Join Financial Accounting Advisory Services within Assurance and you will assist our clients to address the accounting and financial reporting challenges facing their business.  You will be part of a team that provides insight and services that accelerate analytics, decision-making and innovation to build a stronger and more efficient finance function.   You will experience ongoing professional development through diverse experiences, world-class learning and individually tailored coaching. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because your professional development is important to us and we are fully committed to helping you realise your potential","The opportunity The Financial Accounting Advisory Services (FAAS) team works with businesses and finance teams to address the risks of accounting, financial reporting and regulatory issues. By translating data into insights around financial statements and operations, FAAS Data Analytics help clients identify unrealized and often unexpected potential, and achieve a new level of insight and performance. With FAAS Data Analytics, finance teams can make better decisions as they can understand what has happened and why, and then predict what may happen next.   Your key responsibilities As a FAAS Data Analytics Associate, you will be a key member of the team, dedicated to maintaining meaningful relationships with clients and other stakeholders. You will assist the team in engaging current and prospective clients because you strongly believe that they will benefit from our inputs as finance and accounting advisors. You will form a crucial part of our project teams for the successful delivery of services to our clients.   Skills and attributes for success  Provide data analytics services to help clients solve business problems, drive value, and gain strategy and insight from information. Use advanced data analysis techniques that leverage technology to process large volumes of data, and perform complex computations in a scalable, reproducible and automated manner. Perform data analytics to help solve business challenges and achieve data automation, reconciliation, traceability, lineage and transparency. Participate in the development of new offerings and innovation using RPA and presenting RPA implementation strategies across a wide spectrum of audiences Use data analytics to provide actionable, timely and accurate data to drive business insights around customer, regulatory risk, compliance, operations and finance, rationalizing and/or maximizing the existing data infrastructure to achieve greater return on investment. Demonstrate in-depth technical capabilities and professional knowledge.     To qualify for the role you must have  A degree, preferably in Business Analytics, Data Analytics, Information Technology, Data Science, Economics, Econometrics, Engineering, Statistics, (Applied) Mathematics or Actuarial Sciences. Minimum 1-3 years of professional experience, with a minimum 1 year of relevant Data Analytics consulting experience. Familiar with data sourcing, data transformation, data preparation and data visualization techniques. Knowledge of databases, Extract-Transform-Load (ETL) tools, and hands on experience / theoretical knowledge in SQL including writing stored procedures and data extraction / manipulation using queries. Working knowledge of the process flows, underlying data structures and configuration of major ERP systems (e.g. Oracle, SAP, Peoplesoft, Dynamics). Working knowledge of core financial processes (e.g. purchase to pay, order to cash) and related risks and controls. Experienced in interacting with external clients to facilitate project work. Solution-oriented with “go-getter” personality. Willing to try new ways to solve old problems. A team player with excellent interpersonal skills and agile ways of working. Confident, independent and adaptable. Good verbal/written communication skills. Strong organizational and analytical skills.    Ideally, you also have  Experience working in multicultural teams Good understanding of, and practical experience with, analytical techniques and tools for predictive analytics (R, Python). Knowledge of visualization tools like Tableau, Spotfire, Qlikview, etc. Experience with Blue Prism or UiPath will be advantageous    What we look for Highly motivated individuals with excellent problem-solving skills and the ability to prioritize shifting workloads in a rapidly changing industry. An effective communicator, you’ll be a confident team player that collaborates with people from various teams while looking to develop your career in a dynamic organization.     What working at EY offers EY offers a competitive remuneration package where you’ll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements. Plus, we offer:    Support, coaching and feedback from some of the most engaging colleagues around Opportunities to develop new skills and progress your career The freedom and flexibility to handle your role in a way that’s right for you    About EY   As a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we’ll make our ambition to be the best employer by 2020 a reality.   If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.   Join us in building a better working world.   Apply today.     Want to get to know us better? Visit www.ey.com/SG/careers Become a fan on Facebook: https://www.facebook.com/eycareerssingapore Connect with us on Linked In: http://bit.ly/EYLinked_Careers Follow us on Twitter: https://twitter.com/EY_Singapore Watch us on YouTube: http://www.youtube.com/ernstandyoungglobal   ",https://www.mycareersfuture.sg/job/93c14df0ed747524dab264ec41668069
MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Specialist - Data analytics,Salary undisclosed,Salary undisclosed,"GUOCO TOWER, 1 WALLICH STREET 078881","Permanent, Full Time",Executive,Information Technology,"Job Responsibilities  Build strong, effective relationship with both business and IT stakeholders across global offices and business units. Proactively engage the business stakeholders within Trade & Yield Group to understand their need (as-is processes), Scope of Work (SOW) and develop business case on how to turn data into critical information and knowledge that can be used for decision making and streamlining the processes. Work closely with business & IT stakeholders to understand to-be processes i.e. the future applications, data availability, and understand the process to mine the data with minimal automation. Understand clearly the Trade & Yield Group requirements and translate the future data into a working data model. Document the solution into detailed, unambiguous business and functional requirements. Perform data cleansing, pre-processing to facilitate a meaningful analysis. Identify risks and issues, plan the mitigating steps and communicate to relevant stakeholders in a timely manner. Deliver the committed tasks and ensure these and overall project deadlines are met. Work closely with business sponsors, process owners and business teams to ensure all stakeholders are fully engaged and expectations managed, and to ensure the smooth deployment and adoption of new solution. ","Job Requirements Education  Bachelor’s degree in Business or Information System or a related field.  Experience  Prior experience in Liner Business is a must. Expertise within data analytics scope with minimum 3 years of relevant working experience. Ability to take a broad, strategic perspective as well as drill deep to understand the business needs and challenges. Understand key concepts and techniques in data analytics. Strong knowledge of various data mining and data modelling tools and their capabilities.  Skills Set  Advanced user in MS Excel / Access / SQL (at least). Good understanding and experience in relational database, data modelling application. Excellent communication skills, both oral and written with ability to pitch ideas and influence the stakeholders. Strong analytical, conceptualization and problem-solving skills.  Competencies  Technical Savvy and able to work with structured and unstructured data. Analysis and Problem solving. High attention to details. Tolerance of ambiguity. Team player with strong organization and people handling skills. Action-Oriented/Drive for results. Customer-focused. Verbal and written communications. Innovation.  Interest: Please write to john.lee@experis.com.sg",https://www.mycareersfuture.sg/job/ea243c63a92f59eab882c72d20bcb4eb
BLUECHIP PLATFORMS ASIA PTE. LTD.,Data analytics  /  system maintenance - asset mgt (contract),Salary undisclosed,Salary undisclosed,no information,Full Time,Executive,"Banking and Finance, Information Technology","This is an exciting opportunity with one of the leading asset management firms with a strong brand in the market. With a culture of excellence, they promote growth opportunities for their employees and believe that people are their strongest asset. With people as their strongest asset, they value their employees and provide excellent growth opportunities within the organization.   Job Responsibilities You will be in the performance team, with key focus in performing and supporting data / system management within the performance measurement space for client portfolios. Other key responsibilities include:  Maintenance of data for performance systems and provision of analytical reports to senior performance analysts  Enhance system and software infrastructure to support the data management platform  Drive innovation in designing the production processes, to ensure that quality control measures are designed efficiently to reduce error rate  Provide technical support and guidance for new products and initiatives "," Degree in computer science, engineering or similar fields  At least 1 - 2 years of relevant experience  Strong knowledge and experience in SQL and Excel is required  Experience in the financial services industry or asset management space is an added advantage  Excellent communication skills, ability to liaise with senior stakeholders  **Apply here** https://www.bluechipcareers-asia.com/jobDetails/3428/data-analytics-system-maintenance-asset-mgt-contract For more Banking and Finance Jobs, visit us at https://www.bluechipcareers-asia.com/",https://www.mycareersfuture.sg/job/c9e2186b675d6e82a407120a8edfb544
PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Technology Consulting Data Analytics - Big Data Developer,"$3,500","$7,000Monthly","MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Full Time",Executive,Information Technology,"Consulting  We help organisations to work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change. *Job Description Responsibilities We are looking for candidates who have experience in developing Big Data applications and Java based software. The ideal candidate should be agile in thinking, be an enthusiastic contributor with a drive to innovate and support the team. He/she should have strong communication, project and time management skills to work with diverse teams using an Agile delivery methodology.  This individual will support a range of client projects across different industries where he/she will apply his/her development and problem solving skill to solve our client’s challenging problems.","Requirements  Below are the attributes and skills we look for in candidates, but don’t be discouraged if you don’t possess all or even most of them. We would still love to talk to you about joining our team.  Bachelor degree in Engineering or equivalent 1-3 years of experience in Big Data Technologies with DevOps Strong programming experience in Java/J2EE, Python, or Scala Hands-on experience as an individual contributor in Design, Development, Testing and Deployment of Big Data technologies based applications using Hadoop and/or Spark Experience in deployment and development on any Hadoop distros (e.g. Hortonworks, Cloudera) Experience working on Hadoop and related tools such as HDFS, Mapreduce, Sqoop, Flume, Kafka, Pig, Hive, HBase, Solr, Storm and Spark. Experience on NoSQL databases like MongoDB, Cassandra, HBase, DynamoDB and Redis Experience with data warehousing, ETL, BI and data visualisation tools preferred Passion for using Emerging Technologies related to Big Data, Java and other frameworks A self-driven learner with the ability to quickly learn and apply new tools and techniques such as proprietary analytical software, data models and programming languages An ability to analyse and break down complex concepts and technical findings into clear and simple language for communication to team members and clients   We regret that only short-listed candidates will be notified.",https://www.mycareersfuture.sg/job/2a4eaa31be56d9818d87e074bf56cf46
PRICEWATERHOUSECOOPERS CONSULTING (SINGAPORE) PTE. LTD.,Technology Consulting Data Analytics - Senior Big Data Developer,"$4,000","$8,000Monthly","MARINA ONE EAST TOWER, 7 STRAITS VIEW 018936","Permanent, Full Time",Senior Executive,Information Technology,"Consulting  We help organisations to work smarter and grow faster. Our work is always evolving to respond to industry trends and management focus, and we combine our deep technical skills in response to our clients' changing needs. Over time, what we do remains closely linked with helping our clients improve the way they operate; innovate and grow; reduce costs; manage risks; leverage talent; and change the way they do business.  Our aim is to support our clients in designing, managing and executing lasting beneficial change. *Job Description Responsibilities We are looking for candidates who have experience in developing Big Data applications and Java based software. The ideal candidate should be agile in thinking, be an enthusiastic contributor with a drive to innovate and support the team. He/she should have strong communication, project and time management skills to work with diverse teams using an Agile delivery methodology.  This individual will support a range of client projects across different industries where he/she will apply his/her development and problem solving skill to solve our client’s challenging problems.","Requirements  Below are the attributes and skills we look for in candidates, but don’t be discouraged if you don’t possess all or even most of them. We would still love to talk to you about joining our team.  Bachelor degree in Engineering or equivalent 3-6 years of experience in Big Data Technologies with DevOps Strong programming experience in Java/J2EE, Python, or Scala Hands-on experience as an individual contributor in Design, Development, Testing and Deployment of Big Data technologies based applications using Hadoop and Spark Experience in deployment and development on any Hadoop distros (e.g. Hortonworks, Cloudera) Experience in preparing and administration of Data Lakes and streaming and processing of Big Data from different data sources using Hadoop and related tools including HDFS, Mapreduce, Sqoop, Flume, Kafka, Pig, Hive, HBase, Solr, Storm and Spark Experience on NoSQL databases like MongoDB, Cassandra, HBase, DynamoDB and Redis Experience in creation of scalable distributed data products and solutions Experience with data warehousing, ETL, BI and data visualisation tools Experienced in deployment of high performance, scalable Big Data Hadoop clusters and applications on cloud infrastructure (e.g. Azure, AWS) Passion for using Emerging Technologies related to Big Data, Java and other frameworks A self-driven learner with the ability to quickly learn and apply new tools and techniques such as proprietary analytical software, data models and programming languages An ability to analyse and break down complex concepts and technical findings into clear and simple language for communication to team members and clients   We regret that only short-listed candidates will be notified.",https://www.mycareersfuture.sg/job/7d0c84faa270844fcd7950ddac20d349
